Country (or dependent territory),2024,2030,2050,2100
 Afghanistan,"42,647,492","50,039,402","76,885,134","130,216,739"
 Albania,"2,791,765","2,671,885","2,240,166","1,184,997"
 Algeria,"46,814,308","50,154,166","59,565,554","64,487,527"
 American Samoa,"46,765","42,958","37,545","32,293"
 Andorra,"81,938","85,682","82,195","47,222"
 Angola,"37,885,849","45,160,458","74,295,394","150,045,574"
 Anguilla,"14,598","14,977","14,552","9,309"
 Antigua and Barbuda,"93,772","96,000","95,055","67,975"
 Argentina,"45,696,159","46,585,022","48,308,944","38,255,990"
 Armenia,"2,973,840","2,851,291","2,495,207","1,692,198"
 Aruba,"108,066","107,864","100,002","75,170"
 Australia,"26,713,205","28,188,539","32,506,969","43,143,685"
 Austria,"9,120,813","9,080,346","8,724,332","7,399,328"
 Azerbaijan,"10,336,578","10,665,380","11,224,923","10,021,320"
 Bahamas,"401,283","410,266","424,265","384,955"
 Bangladesh,"174,701,211","184,424,144","203,904,900","176,366,038"
 Barbados,"282,309","283,082","267,788","203,022"
 Bahrain,"1,607,049","1,765,209","2,139,464","3,090,323"
 Belize,"416,656","450,428","538,838","562,797"
 Belarus,"9,455,037","9,206,170","8,409,632","6,469,457"
 Belgium,"11,715,774","11,873,460","12,090,657","11,521,156"
 Benin,"14,080,072","16,393,827","25,264,035","46,617,384"
 Bermuda,"63,935","62,806","56,041","36,985"
 Bolivia,"12,567,336","13,625,507","16,609,854","18,861,521"
 Bonaire,"27,272","27,904","28,735","28,971"
 Bulgaria,"6,618,615","6,290,166","5,187,392","2,943,542"
 Bosnia and Herzegovina,"3,194,378","3,111,789","2,739,014","1,739,032"
 Botswana,"2,719,694","2,972,271","3,679,340","4,177,614"
 Brazil,"217,637,297","223,908,968","230,885,725","184,547,593"
 British Virgin Islands,"31,763","32,995","34,768","31,668"
 Brunei,"455,858","473,312","498,373","404,521"
 Burkina Faso,"23,840,247","27,523,563","40,541,548","61,539,300"
 Burundi,"13,591,657","15,800,530","24,208,671","39,388,467"
 Bhutan,"792,382","821,498","874,294","654,430"
 United Kingdom,"67,961,439","69,175,770","71,684,966","70,485,072"
 Hungary,"9,994,993","9,642,912","8,817,396","6,929,830"
 United States Virgin Islands,"98,055","93,419","77,519","37,962"
 Gabon,"2,484,557","2,774,523","3,757,053","5,268,088"
 Haiti,"11,867,030","12,700,006","15,087,520","16,109,408"
 Guyana,"819,594","848,033","878,746","632,627"
 Gambia,"2,841,803","3,263,651","4,673,743","6,667,396"
 Ghana,"34,777,522","38,775,850","52,231,785","72,826,468"
 Guadeloupe,"396,346","399,728","388,861","318,692"
 Guatemala,"18,358,430","20,003,638","24,600,727","26,170,739"
 Guinea-Bissau,"2,197,149","2,484,863","3,445,289","4,765,962"
 Guinea,"14,528,770","16,622,388","23,711,700","34,178,283"
 Germany,"83,252,474","82,762,675","78,932,228","68,936,102"
 Guernsey,"63,788","65,141","66,496","56,453"
 Gibraltar,"32,718","32,771","31,356","23,865"
 Honduras,"10,759,406","11,724,522","14,258,514","15,166,663"
 Palestine,"5,494,963","6,256,949","8,861,747","12,805,184"
 Grenada,"126,887","130,367","136,253","115,630"
 Greenland,"56,789","57,152","53,997","40,586"
 Greece,"10,302,720","10,059,703","9,144,951","6,380,722"
 Georgia,"3,717,425","3,657,494","3,384,660","2,366,909"
 Guam,"174,114","180,746","195,673","183,221"
 Denmark,"5,939,695","6,104,474","6,445,109","7,093,770"
 Jersey,"112,843","119,047","135,441","161,397"
 Djibouti,"1,152,329","1,247,129","1,502,575","1,676,909"
 Dominica,"73,368","74,988","74,167","52,912"
 Dominican Republic,"11,434,005","11,982,523","13,180,541","11,908,081"
 Egypt,"114,484,252","125,151,725","160,339,889","205,225,076"
 Western Sahara,"598,385","662,726","851,067","1,121,874"
 Israel,"9,311,652","10,134,951","12,991,790","18,410,403"
 India,"1,441,719,852","1,514,994,080","1,670,490,596","1,529,850,119"
 Indonesia,"279,798,049","292,150,100","317,225,213","296,623,475"
 Jordan,"11,384,922","11,933,395","15,005,941","17,625,253"
 Iraq,"46,523,657","52,800,825","74,515,140","111,503,537"
 Iran,"89,809,781","92,921,017","99,007,204","79,906,390"
 Ireland,"5,089,478","5,266,881","5,724,686","5,722,314"
 Iceland,"377,689","390,338","408,783","368,486"
 Spain,"47,473,373","47,076,573","44,219,565","30,880,752"
 Italy,"58,697,744","57,544,258","52,250,484","36,874,247"
 North Korea,"26,244,582","26,569,401","25,807,197","20,473,590"
 Cape Verde,"604,461","638,840","727,457","667,365"
 Kazakhstan,"19,828,165","21,128,221","25,609,978","34,093,330"
 Cayman Islands,"69,885","72,865","77,633","78,712"
 Cambodia,"17,121,847","18,084,248","20,258,435","19,118,804"
 Cameroon,"29,394,433","34,051,103","51,279,560","87,093,219"
 Canada,"39,107,046","41,008,596","45,890,819","53,903,779"
 Qatar,"2,737,061","2,855,291","3,358,454","4,379,295"
 Kenya,"56,203,030","63,103,942","85,211,739","112,525,079"
 Cyprus,"1,268,467","1,311,784","1,391,785","1,337,053"
 Kiribati,"135,763","148,720","188,570","238,673"
 Hong Kong,"7,496,681","7,485,887","6,975,391","4,852,441"
 Macau,"713,082","763,371","881,666","1,031,184"
 China,"1,425,178,782","1,415,605,906","1,312,636,325","633,368,108"
 Colombia,"52,340,774","54,129,764","56,987,651","45,837,096"
 Comoros,"867,605","959,412","1,246,207","1,570,166"
 Democratic Republic of the Congo,"105,625,114","127,582,053","217,494,003","432,378,400"
 Republic of the Congo,"6,244,547","7,114,987","10,378,912","17,181,630"
 Kosovo,"1,667,483","1,690,888","1,669,913","944,539"
 Costa Rica,"5,246,714","5,432,243","5,702,525","4,533,000"
 Ivory Coast,"29,603,302","34,211,272","51,358,243","89,366,995"
 Cuba,"11,174,587","11,016,041","10,028,085","6,478,341"
 Kuwait,"4,349,380","4,564,570","5,155,414","4,895,806"
 Kyrgyzstan,"6,839,606","7,435,378","9,426,858","11,975,365"
 Curaçao,"192,965","197,829","204,084","193,807"
 Lao People's Democratic Republic,"7,736,681","8,321,287","9,775,552","9,694,234"
 Latvia,"1,810,240","1,701,338","1,433,728","954,183"
 Lesotho,"2,356,083","2,501,946","2,898,369","2,967,268"
 Liberia,"5,536,949","6,282,074","8,890,700","13,226,140"
 Lebanon,"5,219,044","4,714,240","4,937,579","4,745,074"
 Libya,"6,964,197","7,394,813","8,539,976","8,473,050"
 Lithuania,"2,692,798","2,558,928","2,187,550","1,503,077"
 Liechtenstein,"39,822","41,030","42,287","41,474"
 Luxembourg,"661,594","697,086","781,910","879,481"
 Mauritius,"1,301,978","1,305,425","1,226,235","846,900"
 Mauritania,"4,993,922","5,830,563","8,914,673","15,450,985"
 Madagascar,"31,056,610","35,604,443","51,592,965","83,316,557"
 Mayotte,"345,996","407,579","664,141","1,356,379"
 Malawi,"21,475,962","24,944,243","37,159,300","58,521,719"
 Malaysia,"34,671,895","36,687,569","41,032,433","39,474,474"
 Mali,"24,015,789","28,712,294","47,439,802","87,079,523"
 Maldives,"517,887","512,683","569,909","469,441"
 Malta,"536,740","543,425","522,737","386,365"
 Morocco,"38,211,459","40,226,395","45,044,990","43,933,296"
 Martinique,"366,416","362,472","330,121","230,357"
 Marshall Islands,"42,415","44,733","51,211","50,977"
 Mexico,"129,388,467","134,534,107","143,772,364","115,626,629"
 Mozambique,"34,858,402","40,920,707","63,044,497","106,196,946"
 Republic of Moldova,"3,329,865","3,174,727","2,997,532","2,457,142"
 Monaco,"36,157","35,862","37,664","50,858"
 Mongolia,"3,493,629","3,736,327","4,518,856","5,257,218"
 Montserrat,"4,372","4,301","3,781","2,575"
 Burma,"54,964,694","56,987,625","59,929,399","52,417,687"
 Namibia,"2,645,805","2,910,056","3,779,918","5,018,497"
 Nauru,"12,884","13,358","14,695","12,380"
 Nepal,"31,240,315","33,133,395","37,401,365","33,769,507"
 Niger,"28,238,972","35,217,942","67,043,296","167,008,298"
 Nigeria,"229,152,217","262,580,426","377,459,883","546,091,662"
 Netherlands,"17,671,125","17,943,803","17,897,025","16,580,142"
 Nicaragua,"7,142,529","7,688,686","9,094,641","9,138,044"
 Niue,"1,935","1,948","2,096","2,225"
 New Zealand,"5,269,939","5,495,670","5,949,002","6,069,341"
 New Caledonia,"295,966","312,529","353,191","366,575"
 Norway,"5,514,477","5,748,397","6,367,559","7,219,859"
 United Arab Emirates,"9,591,853","10,004,319","11,449,471","14,089,004"
 Oman,"4,713,553","5,093,376","6,328,978","7,838,991"
 Isle of Man,"84,904","85,798","86,680","88,338"
 Cook Islands,"17,072","17,253","17,674","16,764"
 Wallis and Futuna,"11,439","11,229","11,349","9,887"
 Pakistan,"245,209,815","274,029,836","367,808,468","487,017,405"
 Palau,"18,051","17,919","16,689","14,005"
 Panama,"4,527,961","4,864,126","5,736,121","6,206,167"
 Papua New Guinea,"10,515,788","11,615,322","14,910,369","18,548,056"
 Paraguay,"6,947,270","7,425,448","8,591,486","8,605,016"
 Peru,"34,683,444","36,702,393","42,022,554","42,102,154"
 Poland,"40,221,726","38,700,518","34,932,339","23,082,363"
 Portugal,"10,223,349","10,062,183","9,261,305","6,885,463"
 Puerto Rico,"3,268,802","3,259,722","2,727,624","1,274,146"
 South Korea,"51,741,963","51,290,214","45,770,874","24,102,932"
 Réunion,"989,350","1,031,822","1,127,252","1,113,971"
 Russia,"143,957,079","141,432,741","133,133,035","112,068,747"
 Rwanda,"14,414,910","16,375,704","23,030,046","33,811,630"
 Romania,"19,618,996","19,023,383","17,457,213","13,105,206"
 United States,"341,814,420","352,162,301","375,391,963","394,041,155"
 El Salvador,"6,396,289","6,554,224","6,636,854","4,284,249"
 Samoa,"228,966","248,627","320,016","441,188"
 San Marino,"33,614","33,458","32,044","26,093"
 São Tomé and Príncipe,"236,381","265,036","366,663","531,758"
 Saint Lucia,"180,805","183,274","177,856","121,531"
 Saudi Arabia,"37,473,929","40,461,368","48,374,543","50,468,334"
" Saint Helena, Ascension and Tristan da Cunha","5,253","4,895","3,874","2,803"
 Saint Barthélemy,"11,019","11,113","10,210","5,153"
 Saint Vincent and the Grenadines,"103,683","104,322","101,691","72,701"
 Saint Martin,"32,337","33,508","35,453","34,465"
 Vatican City,526,561,731,"1,237"
 North Macedonia,"2,082,706","2,072,256","1,909,309","1,209,753"
 Northern Mariana Islands,"50,025","51,178","50,050","41,446"
 Seychelles,"108,263","111,317","116,644","103,654"
 Senegal,"18,221,567","21,125,872","32,562,869","62,054,836"
 Saint Kitts and Nevis,"47,847","48,247","46,882","35,941"
 Saint Pierre and Miquelon,"5,815","5,651","5,165","3,615"
 Serbia,"7,097,028","6,832,604","5,777,806","3,266,060"
 Singapore,"6,052,709","6,251,988","6,337,235","5,446,430"
 Sint Maarten,"44,309","44,946","38,947","26,082"
 Syria,"24,348,053","29,824,735","38,306,374","43,472,700"
 Slovakia,"5,702,832","5,555,114","5,186,967","3,854,319"
 Slovenia,"2,118,965","2,105,945","2,003,258","1,666,113"
 Solomon Islands,"756,673","856,264","1,225,407","2,003,495"
 Somalia,"18,706,922","22,316,857","36,462,830","66,335,733"
 Sudan,"49,358,228","56,997,099","84,494,269","141,996,160"
 Suriname,"628,785","659,508","725,519","705,343"
 Sierra Leone,"8,977,972","10,105,188","13,595,023","16,965,728"
 Tajikistan,"10,331,513","11,421,430","15,200,989","20,398,913"
 Thailand,"71,885,799","72,060,018","67,880,083","44,570,978"
 Republic of China,"23,950,214","24,027,999","22,445,526","15,241,961"
 Tanzania,"69,419,073","81,885,304","129,931,520","244,819,886"
 Timor-Leste,"1,379,883","1,495,081","1,806,869","1,804,542"
 Togo,"9,260,864","10,558,178","15,478,883","26,980,350"
 Tokelau,"1,915","2,046","2,430","2,805"
 Tonga,"108,683","114,124","131,225","129,891"
 Trinidad and Tobago,"1,538,200","1,547,690","1,485,139","1,055,540"
 Tuvalu,"11,478","11,917","13,211","14,207"
 Tunisia,"12,564,689","13,100,768","14,315,779","13,530,731"
 Turks and Caicos Islands,"46,431","48,538","52,865","55,676"
 Turkmenistan,"6,598,071","7,034,758","8,263,833","8,814,388"
 Turkey,"86,260,417","88,879,698","95,829,258","82,549,012"
 Uganda,"49,924,252","58,380,262","87,622,081","132,127,044"
 Uzbekistan,"35,673,804","38,313,228","45,593,149","50,794,586"
 Ukraine,"37,937,821","38,295,429","32,867,719","20,432,787"
 Uruguay,"3,423,316","3,423,372","3,337,143","2,409,371"
 Faroe Islands,"53,444","54,583","59,444","68,513"
 Federated States of Micronesia,"116,300","122,704","135,457","115,353"
 Fiji,"943,072","986,172","1,094,174","1,048,164"
 Philippines,"119,106,224","129,453,321","157,891,622","180,147,660"
 Finland,"5,549,886","5,565,475","5,460,917","5,023,926"
 Falkland Islands,"3,803","3,869","3,779","2,773"
 France,"64,881,830","65,543,452","65,827,072","60,851,673"
 French Guiana,"319,796","366,669","532,459","928,830"
 French Polynesia,"311,383","324,860","346,933","281,829"
 Croatia,"3,986,627","3,850,140","3,333,425","2,113,899"
 Central African Republic,"5,915,627","7,104,274","11,533,423","18,793,631"
 Chad,"18,847,148","22,460,393","36,452,035","65,152,512"
 Montenegro,"626,102","621,696","586,385","429,267"
 Czech Republic,"10,503,734","10,515,199","10,577,126","11,172,303"
 Chile,"19,658,839","19,933,769","20,675,378","16,798,533"
 Switzerland,"8,851,431","9,143,698","9,753,753","10,439,548"
 Sweden,"10,673,669","11,007,228","11,902,033","13,187,841"
 Sri Lanka,"21,949,268","22,186,970","21,814,985","14,694,772"
 Ecuador,"18,377,367","19,486,952","22,269,779","21,448,228"
 Equatorial Guinea,"1,754,993","1,999,678","2,790,533","3,855,777"
 Eritrea,"3,817,651","4,283,355","5,964,021","8,575,294"
 Eswatini,"1,222,075","1,305,985","1,655,121","1,992,790"
 Estonia,"1,319,041","1,289,441","1,171,695","835,708"
 Ethiopia,"129,719,719","149,296,378","214,812,309","323,741,600"
 South Africa,"61,020,221","64,659,278","73,529,753","74,559,590"
 South Sudan,"11,277,092","12,570,402","17,460,846","23,720,027"
 Japan,"122,631,432","118,514,802","103,784,357","73,644,064"
 Jamaica,"2,824,738","2,804,356","2,493,823","897,072"
 Vanuatu,"342,325","391,135","578,567","1,019,379"
 Venezuela,"29,395,334","32,027,461","35,937,404","35,353,213"
 Vietnam,"99,497,680","102,699,905","107,012,939","91,036,732"
 Yemen,"35,219,853","39,923,245","55,296,331","74,176,034"
 Zambia,"21,314,956","25,024,901","38,083,385","64,473,916"
 Zimbabwe,"16,634,373","18,610,348","25,866,385","37,166,572"